timestamp,temperature_c,vibration_mm_s,current_a,rpm
2026-09-01T10:00:00Z,54.0,1.9,8.0,1480.0
2026-09-01T10:01:00Z,54.67,1.85,8.17,1482.5
2026-09-01T10:02:00Z,54.73,1.76,8.18,1482.7
2026-09-01T10:03:00Z,54.11,1.7,8.03,1480.4
2026-09-01T10:04:00Z,53.39,1.73,7.85,1477.7
2026-09-01T10:05:00Z,53.23,1.83,7.81,1477.1
2026-09-01T10:06:00Z,53.78,1.9,7.94,1479.2
2026-09-01T10:07:00Z,54.53,1.88,8.13,1482.0
2026-09-01T10:08:00Z,54.79,1.79,8.2,1483.0
2026-09-01T10:09:00Z,54.33,1.71,8.08,1481.2
2026-09-01T10:10:00Z,53.56,1.72,7.89,1478.4
2026-09-01T10:11:00Z,53.2,1.8,7.8,1477.0
2026-09-01T10:12:00Z,53.57,1.88,7.89,1478.4
2026-09-01T10:13:00Z,54.34,1.89,8.08,1481.3
2026-09-01T10:14:00Z,54.79,1.81,8.2,1483.0
2026-09-01T10:15:00Z,54.52,1.72,8.13,1482.0
2026-09-01T10:16:00Z,53.77,1.7,7.94,1479.1
2026-09-01T10:17:00Z,53.23,1.77,7.81,1477.1
2026-09-01T10:18:00Z,53.4,1.87,7.85,1477.7
2026-09-01T10:19:00Z,54.12,1.9,8.03,1480.4
2026-09-01T10:20:00Z,54.73,1.84,8.18,1482.7
2026-09-01T10:21:00Z,54.67,1.75,8.17,1482.5
2026-09-01T10:22:00Z,53.99,1.7,8.0,1480.0
2026-09-01T10:23:00Z,53.32,1.75,7.83,1477.5
2026-09-01T10:24:00Z,53.28,1.84,7.82,1477.3
2026-09-01T10:25:00Z,53.89,1.9,7.97,1479.6
2026-09-01T10:26:00Z,55.56,1.97,8.31,1481.1
2026-09-01T10:27:00Z,56.67,1.99,8.51,1480.5
2026-09-01T10:28:00Z,57.07,2.03,8.53,1477.2
2026-09-01T10:29:00Z,57.27,2.17,8.51,1473.2
2026-09-01T10:30:00Z,57.96,2.37,8.6,1471.0
2026-09-01T10:31:00Z,59.38,2.55,8.88,1471.6
2026-09-01T10:32:00Z,61.09,2.65,9.23,1473.3
2026-09-01T10:33:00Z,62.4,2.68,9.48,1473.4
2026-09-01T10:34:00Z,62.97,2.71,9.55,1470.8
2026-09-01T10:35:00Z,63.16,2.81,9.51,1466.7
2026-09-01T10:36:00Z,63.66,3.0,9.56,1463.8
2026-09-01T10:37:00Z,64.89,3.2,9.79,1463.7
2026-09-01T10:38:00Z,66.59,3.33,10.14,1465.3
2026-09-01T10:39:00Z,68.07,3.37,10.43,1466.1
2026-09-01T10:40:00Z,68.85,3.38,10.55,1464.2
2026-09-01T10:41:00Z,69.07,3.46,10.53,1460.3
2026-09-01T10:42:00Z,69.42,3.63,10.54,1456.9
2026-09-01T10:43:00Z,70.43,3.84,10.71,1455.9
2026-09-01T10:44:00Z,72.06,3.99,11.04,1457.3
2026-09-01T10:45:00Z,73.68,4.05,11.37,1458.6
2026-09-01T10:46:00Z,74.67,4.07,11.54,1457.5
2026-09-01T10:47:00Z,75.0,4.12,11.54,1454.0
2026-09-01T10:48:00Z,75.24,4.27,11.53,1450.1
2026-09-01T10:49:00Z,76.04,4.47,11.65,1448.3
2026-09-01T10:50:00Z,77.54,4.65,11.95,1449.2
2026-09-01T10:51:00Z,79.24,4.73,12.29,1450.8
2026-09-01T10:52:00Z,80.44,4.75,12.52,1450.6
2026-09-01T10:53:00Z,80.92,4.79,12.56,1447.6
2026-09-01T10:54:00Z,81.1,4.91,12.53,1443.5
2026-09-01T10:55:00Z,81.7,5.1,12.6,1441.0
2026-09-01T10:56:00Z,83.03,5.3,12.86,1441.2
2026-09-01T10:57:00Z,84.75,5.41,13.21,1442.9
2026-09-01T10:58:00Z,86.14,5.44,13.48,1443.4
2026-09-01T10:59:00Z,86.81,5.46,13.57,1441.1
